host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,img_per_class,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,100,3333,,,,,11.7312,,,4.4794,11.731173117311732,100.0,,,0.0002,19.1865,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,300,3333,,,,3.0,10.9811,,,8.7221,10.98109810981098,100.0,,,0.0018,31.1297,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,500,3333,,,,5.0,8.6409,,,10.1754,8.64086408640864,99.5968,,,0.0133,45.3419,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,100,3333,,,,,9.2709,,,4.2389,9.270927092709272,100.0,,,0.0177,18.9842,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,300,3333,,,,3.0,22.1122,,,3.5246,22.112211221122113,100.0,,,0.006,29.8817,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,500,3333,,,,5.0,31.5632,,,2.9276,31.563156315631563,100.0,,,0.0039,44.2089,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,100,3333,,,,,9.751,,,4.3182,9.750975097509752,100.0,,,0.0027,19.1837,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,300,3333,,,,3.0,24.0324,,,3.5241,24.032403240324033,100.0,,,0.001,29.9503,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,500,3333,,,,5.0,34.5035,,,2.8616,34.5034503450345,100.0,,,0.0007,44.1554,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,100,3333,,,,,10.6211,,,4.3713,10.62106210621062,100.0,,,0.0008,18.8411,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,300,3333,,,,3.0,25.5326,,,3.4862,25.53255325532553,100.0,,,0.0003,30.3044,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,500,3333,,,,5.0,38.9739,,,2.7439,38.97389738973897,100.0,,,0.0002,44.145,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,100,3333,,,,,11.1011,,,4.4492,11.1011101110111,100.0,,,0.0002,19.1664,0.4121,78.51,86.7729,86.7729,
