serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
24,fz_448,cars,hiresnet50.a1_in1k_fz,36.54,3.9,38.79513833068936,26.0011950946521,10.68403773061155,36.54\pm{3.9},36.54+-3.9
24,fz_448,cars,hiresnet50.in21k_miil_fz,45.72,4.12,47.86499676960455,34.50547650607709,9.00864827274768,45.72\pm{4.12},45.72+-4.12
24,fz_448,cars,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,53.85,4.44,56.29969576651369,41.73258392203372,8.252905063142173,53.85\pm{4.44},53.85+-4.44
24,fz_448,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,50.17,3.93,52.20780087417837,39.43254236671206,7.833449423700163,50.17\pm{3.93},50.17+-3.93
24,fz_448,cars,hiresnet50.in1k_mocov3_fz,51.46,3.46,53.17776881288275,41.82018375338585,6.72060004377531,51.46\pm{3.46},51.46+-3.46
24,fz_448,cars,hiresnet50.in1k_supcon_fz,51.72,3.75,53.76451782177317,41.45328362871989,7.244188338627419,51.72\pm{3.75},51.72+-3.75
24,fz_448,cars,hiresnet50.in1k_swav_fz,43.16,4.03,45.2246262295977,32.14822813568267,9.335663213570584,43.16\pm{4.03},43.16+-4.03
24,fz_448,cars,hiresnet50.in1k_spark_fz,21.2,3.09,23.548885134417816,13.630934145431493,14.592885666839594,21.2\pm{3.09},21.2+-3.09
24,fz_448,cub,hivit_base_patch16_224.orig_in21k_fz,85.09,0.67,85.65345109035724,83.44041851235032,0.7875205672846419,85.09\pm{0.67},85.09+-0.67
24,fz_448,cub,hideit_base_patch16_224.fb_in1k_fz,70.47,1.78,71.76176206461692,65.68527409175861,2.526050464984473,70.47\pm{1.78},70.47+-1.78
24,fz_448,cub,hivit_base_patch16_224_miil.in21k_fz,40.1,2.1,41.40015705215039,34.39758398233094,5.238016764790085,40.1\pm{2.1},40.1+-2.1
24,fz_448,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,83.69,1.38,84.57464584189992,79.93019293210314,1.654257076096765,83.69\pm{1.38},83.69+-1.38
24,fz_448,cub,hideit3_base_patch16_224.fb_in1k_fz,72.8,2.2,74.03331100864061,66.80898085256489,3.0252822244611437,72.8\pm{2.2},72.8+-2.2
24,fz_448,cub,hivit_base_patch16_224.in1k_mocov3_fz,66.08,3.38,67.94114532549814,56.77194570011291,5.121747156549064,66.08\pm{3.38},66.08+-3.38
24,fz_448,cub,hivit_base_patch16_224.dino_fz,76.73,2.02,77.93032220445109,71.17137250102111,2.6329446411003836,76.73\pm{2.02},76.73+-2.02
24,fz_448,cub,hivit_base_patch16_clip_224.laion2b_fz,79.32,0.94,80.19018162764888,77.31841017015816,1.182891139469126,79.32\pm{0.94},79.32+-0.94
