serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
40,,all,hivit_base_patch16_224.mae,25,-1,hivit_base_patch16_224.mae,71.8393,27.37,92.38900634249472,0.01,6.752891431414003,38.098972455185645,-81.72912283661016,71.8393\pm{27.37},71.8393+-27.37
40,,all,hivit_base_patch16_224.mae,50,-1,hivit_base_patch16_224.mae,75.0098,23.2612,91.72988434274345,0.01,10.359408033826638,31.01088976675585,-69.47350520779042,75.0098\pm{23.2612},75.0098+-23.2612
40,,all,hivit_base_patch16_224.mae,70,-1,hivit_base_patch16_224.mae,72.4505,27.5727,91.49359532396468,0.01,4.750652903867678,38.057247749221744,-82.33739003151022,72.4505\pm{27.5727},72.4505+-27.5727
40,,aircraft_pl,hiresnet50.tv_in1k,25,-1,hiresnet50.tv_in1k,91.3621,0.8995,92.61926192619262,0.03,90.0990099009901,0.984514051999413,-2.6885740671698466,91.3621\pm{0.8995},91.3621+-0.8995
40,,aircraft_pl,hiresnet50.tv_in1k,50,-1,hiresnet50.tv_in1k,91.4581,1.2113,92.97929792979298,0.01,89.34893489348934,1.3244561257413217,-3.6207244829345493,91.4581\pm{1.2113},91.4581+-1.2113
40,,aircraft_pl,hiresnet50.tv_in1k,70,-1,hiresnet50.tv_in1k,91.6112,1.0421,93.12931293129311,0.01,89.91899189918992,1.1375695592803488,-3.1150463496876797,91.6112\pm{1.0421},91.6112+-1.0421
40,,cars_pl,hiresnet50.tv_in1k,25,-1,hiresnet50.tv_in1k,92.3853,2.3274,94.20470090784728,0.03,86.10869294863824,2.519259334027338,-6.957081432784173,92.3853\pm{2.3274},92.3853+-2.3274
40,,cars_pl,hiresnet50.tv_in1k,50,-1,hiresnet50.tv_in1k,92.098,2.5586,93.90623056833728,0.01,85.07648302449944,2.778087185726852,-7.647907150510138,92.098\pm{2.5586},92.098+-2.5586
40,,cars_pl,hiresnet50.tv_in1k,70,-1,hiresnet50.tv_in1k,92.3082,2.3174,94.15495585126229,0.01,86.13356547693073,2.5105357181232497,-6.927183425720081,92.3082\pm{2.3174},92.3082+-2.3174
40,,cub_pl,hiresnet50.tv_in1k,25,-1,hiresnet50.tv_in1k,82.5923,3.2536,86.36520538488091,0.01,75.59544356230583,3.939324240931201,-9.72134660357904,82.5923\pm{3.2536},82.5923+-3.2536
40,,cub_pl,hiresnet50.tv_in1k,50,-1,hiresnet50.tv_in1k,82.6752,3.5027,86.52053848809113,0.01,74.55988954090438,4.236690948628414,-10.465708849291673,82.6752\pm{3.5027},82.6752+-3.5027
40,,cub_pl,hiresnet50.tv_in1k,70,-1,hiresnet50.tv_in1k,82.5751,3.6976,86.39972385226096,0.01,73.36900241629272,4.477850700857878,-11.047987575068275,82.5751\pm{3.6976},82.5751+-3.6976
40,,aircraft_pl,hiresnet50.gluon_in1k,25,-1,hiresnet50.gluon_in1k,90.9361,1.2406,92.61926192619262,0.03,89.22892289228923,1.3643032897116978,-3.7082893170463436,90.9361\pm{1.2406},90.9361+-1.2406
40,,aircraft_pl,hiresnet50.gluon_in1k,50,-1,hiresnet50.gluon_in1k,91.0021,1.4869,92.91929192919292,0.03,88.74887488748875,1.6339407101999937,-4.444421680303582,91.0021\pm{1.4869},91.0021+-1.4869
40,,aircraft_pl,hiresnet50.gluon_in1k,70,-1,hiresnet50.gluon_in1k,91.0441,1.3422,92.91929192919292,0.03,88.80888088808881,1.4742753371197355,-4.011979578302824,91.0441\pm{1.3422},91.0441+-1.3422
40,,cars_pl,hiresnet50.gluon_in1k,25,-1,hiresnet50.gluon_in1k,91.8617,2.4976,94.11764705882354,0.03,85.4371346847407,2.718910385981931,-7.465723515376893,91.8617\pm{2.4976},91.8617+-2.4976
40,,cars_pl,hiresnet50.gluon_in1k,50,-1,hiresnet50.gluon_in1k,92.0495,2.3899,93.83161298345976,0.03,85.62367864693447,2.59628888349157,-7.143649632843814,92.0495\pm{2.3899},92.0495+-2.3899
40,,cars_pl,hiresnet50.gluon_in1k,70,-1,hiresnet50.gluon_in1k,92.1763,2.0826,94.21713717199351,0.03,86.91705011814452,2.259372096538877,-6.2252262177250115,92.1763\pm{2.0826},92.1763+-2.0826
40,,cub_pl,hiresnet50.gluon_in1k,25,-1,hiresnet50.gluon_in1k,81.5085,3.718,85.08802209181913,0.03,71.71211598205039,4.561428941547851,-11.108236756159537,81.5085\pm{3.718},81.5085+-3.718
40,,cub_pl,hiresnet50.gluon_in1k,50,-1,hiresnet50.gluon_in1k,81.0166,4.7759,85.53676216775975,0.03,68.29478771142561,5.894954004654252,-14.268718872059528,81.0166\pm{4.7759},81.0166+-4.7759
40,,cub_pl,hiresnet50.gluon_in1k,70,-1,hiresnet50.gluon_in1k,81.4601,4.0122,85.34691059716948,0.03,70.90093199861926,4.925354197470372,-11.987346427590705,81.4601\pm{4.0122},81.4601+-4.0122
40,,aircraft_pl,hiresnet50.in21k_miil,25,-1,hiresnet50.in21k_miil,90.8161,1.2859,92.13921392139214,0.0005,88.5088508850885,1.4159737144606466,-3.843635795079454,90.8161\pm{1.2859},90.8161+-1.2859
40,,aircraft_pl,hiresnet50.in21k_miil,50,-1,hiresnet50.in21k_miil,91.1521,1.261,92.52925292529252,0.0001,88.38883888388838,1.3833526352039687,-3.7690320371161667,91.1521\pm{1.261},91.1521+-1.261
40,,aircraft_pl,hiresnet50.in21k_miil,70,-1,hiresnet50.in21k_miil,91.1011,1.2725,92.67926792679268,0.0001,88.86888688868886,1.3967597961352056,-3.8034234416290507,91.1011\pm{1.2725},91.1011+-1.2725
40,,cars_pl,hiresnet50.in21k_miil,25,-1,hiresnet50.in21k_miil,,,,,,,,nan\pm{nan},nan+-nan
40,,cub_pl,hiresnet50.in21k_miil,25,-1,hiresnet50.in21k_miil,86.1046,2.4909,88.6434242319641,0.01,80.87676907145323,2.8928416513908175,-7.443679996304688,86.1046\pm{2.4909},86.1046+-2.4909
40,,cub_pl,hiresnet50.in21k_miil,50,-1,hiresnet50.in21k_miil,86.2634,2.6493,88.76423886779428,0.01,80.89402830514325,3.0712007151534753,-7.917252246080387,86.2634\pm{2.6493},86.2634+-2.6493
40,,cub_pl,hiresnet50.in21k_miil,70,-1,hiresnet50.in21k_miil,,,,,,,,nan\pm{nan},nan+-nan
40,,aircraft_pl,hiresnet50.a1_in1k,25,-1,hiresnet50.a1_in1k,89.0369,2.7357,91.83918391839184,0.0005,83.1983198319832,3.072522022332581,-8.17631020144559,89.0369\pm{2.7357},89.0369+-2.7357
40,,aircraft_pl,hiresnet50.a1_in1k,50,-1,hiresnet50.a1_in1k,88.9859,2.4247,91.53915391539154,0.0001,84.03840384038403,2.72483592753931,-7.246910846385127,88.9859\pm{2.4247},88.9859+-2.4247
