serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,30.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,41.3333,15.994,53.0,0.0001,1.1666666666666667,38.69520712214786,-47.59510476024186,41.3333\pm{15.994},41.3333+-15.994
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,40.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,41.2167,16.0562,53.833333333333336,0.0001,4.666666666666667,38.955692610322096,-47.779156986560054,41.2167\pm{16.0562},41.2167+-16.0562
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,50.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,43.2833,12.8609,53.66666666666666,0.0001,10.666666666666666,29.71317627068623,-38.2854276247792,43.2833\pm{12.8609},43.2833+-12.8609
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,70.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,41.8333,17.3005,56.5,0.0001,6.666666666666667,41.35586958651138,-51.488057635206665,41.8333\pm{17.3005},41.8333+-17.3005
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,90.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,41.9667,14.3894,56.16666666666666,0.0001,17.666666666666668,34.28764630085337,-42.82527022976585,41.9667\pm{14.3894},41.9667+-14.3894
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,10.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,44.1667,10.5022,54.333333333333336,0.03,29.0,23.778575896185345,-31.268827303483732,44.1667\pm{10.5022},44.1667+-10.5022
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,20.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,46.3167,12.9034,55.16666666666666,0.0001,12.333333333333334,27.858991746506355,-38.43147911430552,46.3167\pm{12.9034},46.3167+-12.9034
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,30.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,44.5333,13.3171,53.5,0.0001,9.166666666666666,29.903607976577888,-39.65218417694228,44.5333\pm{13.3171},44.5333+-13.3171
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,40.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,49.3167,7.6245,57.833333333333336,0.0001,34.833333333333336,15.46021180620636,-22.718781249220246,49.3167\pm{7.6245},49.3167+-7.6245
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,50.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,44.8833,16.5005,56.66666666666666,0.0001,13.0,36.76303821444322,-49.13380057360336,44.8833\pm{16.5005},44.8833+-16.5005
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,70.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,48.8,6.1653,54.833333333333336,5e-05,36.833333333333336,12.633842555771729,-18.36960707609209,48.8\pm{6.1653},48.8+-6.1653
54,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,90.0,-1.0,hiresnet50.fb_ssl_yfcc100m_ft_in1k,46.5185,12.3641,57.333333333333336,0.0001,20.83333333333333,26.578892442204932,-36.82653208381061,46.5185\pm{12.3641},46.5185+-12.3641
54,,soylocal,hiresnet50.in1k_supcon,0,10.0,-1.0,hiresnet50.in1k_supcon,43.55,8.4587,50.16666666666666,0.03,27.166666666666668,19.422973740295404,-25.181885454292992,43.55\pm{8.4587},43.55+-8.4587
54,,soylocal,hiresnet50.in1k_supcon,0,20.0,-1.0,hiresnet50.in1k_supcon,43.3,10.5786,52.0,0.0001,23.666666666666668,24.430880828637065,-31.491405388113176,43.3\pm{10.5786},43.3+-10.5786
54,,soylocal,hiresnet50.in1k_supcon,0,30.0,-1.0,hiresnet50.in1k_supcon,41.6,14.9353,53.66666666666666,0.0001,11.5,35.90214550531382,-44.44685613557851,41.6\pm{14.9353},41.6+-14.9353
54,,soylocal,hiresnet50.in1k_supcon,0,40.0,-1.0,hiresnet50.in1k_supcon,42.9,10.6436,52.16666666666666,0.0001,22.666666666666668,24.810142990030812,-31.682552598269343,42.9\pm{10.6436},42.9+-10.6436
54,,soylocal,hiresnet50.in1k_supcon,0,50.0,-1.0,hiresnet50.in1k_supcon,43.1,11.8465,56.16666666666666,0.0001,17.833333333333332,27.486194292191275,-35.26478727688141,43.1\pm{11.8465},43.1+-11.8465
54,,soylocal,hiresnet50.in1k_supcon,0,70.0,-1.0,hiresnet50.in1k_supcon,45.4833,7.893,52.5,0.0001,28.33333333333333,17.35355716254417,-23.505393176666075,45.4833\pm{7.893},45.4833+-7.893
54,,soylocal,hiresnet50.in1k_supcon,0,90.0,-1.0,hiresnet50.in1k_supcon,42.3833,13.1766,51.5,0.0001,8.833333333333334,31.089194902879424,-39.2190193699824,42.3833\pm{13.1766},42.3833+-13.1766
54,,soylocal,hiresnet50.in1k_swav,0,10.0,-1.0,hiresnet50.in1k_swav,56.9167,3.6373,62.66666666666666,0.03,52.16666666666666,6.390567866057484,-10.847988952632578,56.9167\pm{3.6373},56.9167+-3.6373
54,,soylocal,hiresnet50.in1k_swav,0,20.0,-1.0,hiresnet50.in1k_swav,56.65,3.1353,61.833333333333336,0.01,51.333333333333336,5.534462907594941,-9.350475082381651,56.65\pm{3.1353},56.65+-3.1353
54,,soylocal,hiresnet50.in1k_swav,0,30.0,-1.0,hiresnet50.in1k_swav,56.7667,3.3722,62.0,0.01,51.16666666666666,5.9404246080022185,-10.057138861347756,56.7667\pm{3.3722},56.7667+-3.3722
54,,soylocal,hiresnet50.in1k_swav,0,40.0,-1.0,hiresnet50.in1k_swav,58.2833,3.403,64.0,0.03,53.5,5.838755847674278,-10.150677041181734,58.2833\pm{3.403},58.2833+-3.403
54,,soylocal,hiresnet50.in1k_swav,0,50.0,-1.0,hiresnet50.in1k_swav,58.1333,2.52,62.5,0.03,55.16666666666666,4.334936545056529,-7.51677996912802,58.1333\pm{2.52},58.1333+-2.52
54,,soylocal,hiresnet50.in1k_swav,0,70.0,-1.0,hiresnet50.in1k_swav,58.8667,1.712,61.333333333333336,0.0001,56.0,2.90822767788017,-5.106847802357578,58.8667\pm{1.712},58.8667+-1.712
54,,soylocal,hiresnet50.in1k_swav,0,90.0,-1.0,hiresnet50.in1k_swav,58.55,4.1231,64.16666666666667,0.03,53.0,7.042088904841977,-12.299008272306512,58.55\pm{4.1231},58.55+-4.1231
54,,soylocal,hiresnet50.in1k_mocov3,0,10.0,-1.0,hiresnet50.in1k_mocov3,49.85,2.6891,53.333333333333336,0.01,46.16666666666666,5.394351083166822,-8.013308534044313,49.85\pm{2.6891},49.85+-2.6891
54,,soylocal,hiresnet50.in1k_mocov3,0,20.0,-1.0,hiresnet50.in1k_mocov3,50.5167,2.0007,54.5,0.03,48.16666666666666,3.9604638546809996,-5.962478333222245,50.5167\pm{2.0007},50.5167+-2.0007
